REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2012,04,1,11,001,01,1,001,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,11,001,10,1,010,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,11,004,07,1,148,04,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,11,004,09,1,150,04,35000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,11,004,09,1,150,07,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,11,006,07,1,108,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,11,009,06,1,117,04,20000,3,1,822,1,45,06,   , ,  ,  
11,2012,04,1,11,014,05,1,186,01,50000,1,1,811,3,45,36,   , ,  ,  
11,2012,04,1,11,019,04,1,065,04,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,1,11,021,03,1,133,04,07000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,11,023,07,1,017,04,25000,2,1,711,3,27,36,   , ,  ,01
11,2012,05,2,11,028,03,1,043,04,15000,3,1,711,1,05,99,   , ,  ,  
11,2012,05,2,11,028,09,1,049,02,40000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,06,1,11,041,02,1,193,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,11,042,02,1,182,03,25000,1,1,821,2,27,10,   , ,  ,  
11,2012,06,1,11,043,02,1,062,03,18000,1,1,114,1,45,99,   , ,  ,  
11,2012,06,1,11,043,05,1,065,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,1,11,049,02,1,032,02,20000,3,1,811,3,43,99,   , ,  ,  
11,2012,06,1,11,050,04,1,124,03,12000,1,1,871,2,46,06,   , ,  ,  
11,2012,06,1,11,056,10,1,010,01,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,11,062,08,1,193,01,15000,2,2,   ,1,  ,  ,   , ,  ,  
11,2012,07,2,11,065,04,1,147,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,11,067,01,1,134,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,11,067,05,1,138,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,11,067,06,1,139,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,11,067,09,1,142,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,11,070,01,1,124,04,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,11,070,08,1,131,04,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,11,074,10,1,123,02,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,11,075,10,1,060,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,1,11,079,07,1,137,04,99000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,11,081,02,1,042,02,40000,1,1,233,2,46,99,   , ,  ,  
11,2012,08,2,11,081,04,1,044,01,07000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,08,1,11,086,04,1,054,02,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,1,11,086,09,1,059,01,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,1,11,088,04,1,004,04,15000,2,1,719,1,46,06,   , ,  ,  
11,2012,08,1,11,089,07,1,127,05,25000,2,1,871,2,46,03,   , ,  ,  
11,2012,09,1,11,099,04,1,117,02,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,11,100,01,1,011,04,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,1,11,113,03,1,063,04,00001,2,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,11,116,01,1,001,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,11,116,05,1,005,03,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,11,118,10,1,030,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,11,122,06,1,056,03,15000,1,1,719,1,25,06,   , ,  ,  
11,2012,10,1,11,126,05,1,095,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,11,132,05,1,155,03,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,1,11,137,10,1,180,08,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,11,138,10,1,190,04,30000,2,1,233,1,02,15,   , ,  ,  
11,2012,11,1,11,139,02,1,022,04,35000,2,1,221,2,06,36,   , ,  ,  
11,2012,11,1,11,140,01,1,031,02,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,11,141,09,1,049,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,11,143,01,1,061,03,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,11,143,01,1,061,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,1,11,151,09,1,149,02,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,1,11,154,05,1,157,06,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,1,11,155,05,1,157,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,11,156,09,1,181,04,25000,1,1,234,2,06,47,231,2,02,36
11,2012,12,2,11,159,09,1,030,01,25000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,11,159,10,1,031,04,15000,1,1,226,1,04,12,   , ,  ,  
11,2012,12,1,11,161,09,1,050,01,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,1,11,163,06,1,058,02,12000,2,1,718,2,27,12,   , ,  ,  
11,2012,12,1,11,164,02,1,074,01,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,1,11,169,03,1,125,02,20000,1,1,111,1,46,99,   , ,  ,  
11,2012,04,2,12,004,02,1,032,04,07000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,12,004,10,1,040,04,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,12,007,10,1,070,01,30000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,12,015,09,1,149,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,12,018,01,1,171,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,12,018,01,1,171,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,12,026,04,1,074,04,99000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,12,026,06,1,076,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,12,032,02,1,112,04,20000,1,1,225,1,46,12,   , ,  ,  
11,2012,05,2,12,032,09,1,119,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,12,033,02,1,122,06,20000,2,1,718,1,46,99,   , ,  ,  
11,2012,05,2,12,035,02,1,142,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,12,035,04,1,144,04,30000,3,1,225,2,01,36,   , ,  ,  
11,2012,05,2,12,035,05,1,145,02,99999,3,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,12,038,10,1,181,02,10000,2,1,719,1,46,03,   , ,  ,  
11,2012,06,2,12,040,10,1,201,03,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,12,041,06,1,207,03,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,12,057,03,1,023,03,20000,3,1,855,1,46,01,855,2,46,04
11,2012,07,2,12,058,02,1,032,03,00001,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,059,03,1,043,03,15000,1,1,718,1,46,12,   , ,  ,  
11,2012,07,2,12,059,04,1,044,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,060,01,1,051,04,15000,2,1,231,1,06,99,   , ,  ,  
11,2012,07,2,12,060,05,1,055,04,08000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,3,12,061,08,1,068,03,08000,2,1,611,2,43,12,718,1,46,06
11,2012,07,2,12,065,05,1,105,03,15000,1,1,611,2,46,12,   , ,  ,  
11,2012,07,2,12,065,07,1,107,03,75000,1,1,114,2,46,12,   , ,  ,  
11,2012,07,2,12,068,04,1,134,03,15000,1,1,871,1,46,06,   , ,  ,  
11,2012,07,2,12,068,04,1,134,04,15000,1,1,229,1,01,18,   , ,  ,  
11,2012,07,2,12,068,05,1,135,03,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,068,08,1,138,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,069,05,1,145,04,30000,2,1,871,1,43,06,   , ,  ,  
11,2012,07,2,12,069,06,1,146,04,40000,3,1,217,1,46,02,   , ,  ,  
11,2012,07,2,12,069,07,1,147,01,75000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,070,07,1,157,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,071,06,1,166,05,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,12,073,07,1,187,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,1,12,076,01,1,011,01,30000,1,1,843,2,02,24,   , ,  ,  
11,2012,08,2,12,077,01,1,021,01,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,12,079,10,1,050,03,15000,3,1,719,2,46,12,   , ,  ,  
11,2012,08,2,12,080,08,1,058,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,12,080,09,1,059,02,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,12,086,05,1,115,03,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,12,088,05,1,135,02,40000,1,1,718,3,43,30,   , ,  ,  
11,2012,09,1,12,094,04,1,004,01,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,1,12,094,04,1,004,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,12,099,05,1,055,01,09000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,12,099,05,1,055,02,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,12,106,07,1,127,04,18000,3,1,719,1,46,06,   , ,  ,  
11,2012,09,2,12,107,06,1,136,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,12,110,05,1,165,03,50000,1,1,245,3,46,48,829,1,46,12
11,2012,09,2,12,111,09,1,179,03,25000,3,1,718,1,47,06,   , ,  ,  
11,2012,10,1,12,113,01,1,001,03,15000,2,1,213,1,02,24,   , ,  ,  
11,2012,10,1,12,113,04,1,004,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,12,121,04,1,084,01,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,12,126,01,1,131,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,12,127,07,1,147,02,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,12,128,08,1,158,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,12,129,01,1,161,08,50000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,12,131,03,1,183,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,12,135,05,1,035,01,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,12,135,05,1,035,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,12,135,06,1,036,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,12,139,08,1,078,03,20000,1,1,114,1,23,06,   , ,  ,  
11,2012,11,2,12,143,06,1,116,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,12,148,02,1,163,03,20000,1,1,225,1,01,06,   , ,  ,  
11,2012,11,2,12,148,07,1,168,03,18000,3,1,233,1,02,12,   , ,  ,  
11,2012,12,2,12,151,07,1,017,03,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,153,05,1,035,02,15000,1,1,871,1,46,12,   , ,  ,  
11,2012,12,2,12,153,06,1,036,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,153,09,1,039,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,154,08,1,048,03,25000,1,1,861,1,29,06,   , ,  ,  
11,2012,12,2,12,156,08,1,068,02,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,159,07,1,097,03,15000,1,1,718,2,06,06,931,2,05,06
11,2012,12,2,12,166,02,1,162,03,10000,2,1,718,1,44,06,861,1,28,06
11,2012,12,2,12,166,02,1,162,04,10000,3,1,718,1,44,06,861,1,28,06
11,2012,04,2,13,002,06,1,017,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,13,002,07,1,018,03,25000,3,1,218,1,46,06,   , ,  ,  
11,2012,04,2,13,006,04,1,055,02,35000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,13,006,10,1,061,02,25000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,13,006,10,1,061,03,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,13,007,09,1,072,09,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,13,012,05,1,015,03,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,13,018,08,1,078,03,08000,3,1,854,1,01,06,   , ,  ,  
11,2012,05,2,13,019,10,1,090,03,06000,2,1,323,1,43,24,   , ,  ,  
11,2012,06,2,13,023,09,1,019,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,024,09,1,029,03,10000,2,1,719,1,25,03,   , ,  ,  
11,2012,06,2,13,024,10,1,030,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,1,13,027,05,1,045,02,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,029,05,1,065,06,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,030,07,1,077,03,65000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,031,09,1,089,03,15000,1,1,719,1,25,06,   , ,  ,  
11,2012,07,2,13,034,08,1,030,03,25000,2,1,217,1,46,99,   , ,  ,  
11,2012,07,2,13,034,09,1,031,02,25000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,03,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,04,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,05,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,06,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,036,02,1,064,02,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,037,09,1,061,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,039,01,1,073,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,039,08,1,080,03,30000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,3,13,040,07,1,017,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,3,13,040,07,1,017,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,041,04,1,004,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,042,02,1,104,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,046,03,1,063,03,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,048,03,1,033,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,048,09,1,039,03,20000,3,1,856,1,46,12,   , ,  ,  
11,2012,08,2,13,050,09,1,079,02,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,050,10,1,080,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,051,04,1,044,03,30000,1,1,719,2,45,12,719,2,01,12
11,2012,09,2,13,053,05,1,025,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,1,13,056,06,1,066,03,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,1,13,056,07,1,067,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,13,059,02,1,072,03,08000,1,1,854,1,01,06,   , ,  ,  
11,2012,09,2,13,060,02,1,102,05,16000,3,1,719,1,45,99,   , ,  ,  
11,2012,09,2,13,060,04,1,104,02,04000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,13,060,04,1,104,05,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,13,060,05,1,105,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,13,067,08,1,069,03,10000,1,1,122,1,03,06,   , ,  ,  
11,2012,10,3,13,069,10,1,101,05,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,1,13,080,05,1,066,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,13,081,01,1,051,06,12000,1,1,719,1,38,06,   , ,  ,  
11,2012,11,2,13,082,07,1,098,05,25000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,13,083,03,1,043,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,13,087,10,1,081,04,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,13,090,10,1,060,01,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,13,093,05,1,035,03,10000,1,1,718,1,25,03,   , ,  ,  
11,2012,05,2,21,018,08,2,100,02,75000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,019,07,1,018,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,019,08,1,019,01,10000,3,1,122,1,46,24,   , ,  ,  
11,2012,05,2,21,022,02,1,115,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,022,04,1,117,03,00001,2,1,719,1,25,06,   , ,  ,  
11,2012,05,2,21,022,05,1,118,02,06000,3,1,871,1,46,06,   , ,  ,  
11,2012,05,2,21,022,06,1,119,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,022,06,1,119,02,10000,2,1,122,1,46,06,   , ,  ,  
11,2012,05,1,21,023,03,1,024,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,1,21,023,07,1,028,03,18000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,024,03,1,034,03,17000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,3,21,028,06,1,057,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,032,06,1,139,03,18000,2,1,931,2,46,12,   , ,  ,  
11,2012,06,2,21,039,01,1,052,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,039,01,1,052,06,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,039,03,1,054,01,15000,3,1,719,2,01,12,   , ,  ,  
11,2012,06,1,21,040,01,1,032,03,30000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,1,21,040,08,1,039,03,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,043,02,1,114,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,045,02,1,094,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,049,06,1,006,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,050,06,1,016,10,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,051,05,1,025,04,12000,3,1,854,1,06,12,   , ,  ,  
11,2012,07,3,21,052,10,1,040,04,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,054,02,1,052,02,07000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,054,03,1,053,02,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,054,05,1,055,02,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,055,02,1,062,03,50000,1,1,233,1,45,24,   , ,  ,  
11,2012,07,2,21,055,04,1,064,02,12000,3,1,122,2,03,12,711,1,43,06
11,2012,07,2,21,055,05,1,065,03,10000,3,1,719,1,03,06,   , ,  ,  
11,2012,07,2,21,055,06,1,066,02,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,055,08,1,068,01,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,21,056,07,1,158,04,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,21,057,02,1,163,03,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,1,21,060,04,1,084,02,10000,2,1,871,2,03,12,122,1,03,12
11,2012,07,2,21,063,05,1,125,04,25000,3,1,719,2,46,12,   , ,  ,  
11,2012,07,2,21,064,01,1,131,03,16000,2,1,231,2,03,12,   , ,  ,  
11,2012,08,1,21,068,04,1,024,01,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,069,03,1,033,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,072,01,1,061,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,072,03,1,063,03,12000,1,1,122,1,43,03,   , ,  ,  
11,2012,08,2,21,072,10,1,070,02,05000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,075,03,1,094,05,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,076,01,1,101,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,21,080,04,1,144,03,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,085,05,1,025,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,085,07,1,027,03,50000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,089,02,1,052,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,089,09,1,059,02,12000,1,1,719,2,46,06,   , ,  ,  
11,2012,09,2,21,092,05,1,085,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,21,095,02,1,114,02,15000,2,1,218,1,43,04,   , ,  ,  
11,2012,09,2,21,098,07,1,147,03,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,21,102,06,1,036,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,21,102,10,1,040,03,08000,3,2,   , ,  ,  ,   , ,  ,  
